Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
1,0.050,0.80,Tournament,3000.87,0,3
2,0.050,0.80,Tournament,3000.87,0,3
3,0.050,0.80,Tournament,4000.67,0,4
4,0.050,0.80,Tournament,4000.67,0,4
5,0.050,0.80,Tournament,4000.67,0,4
6,0.050,0.80,Tournament,4000.76,0,4
7,0.050,0.80,Tournament,4000.88,0,4
8,0.050,0.80,Tournament,4000.88,0,4
9,0.050,0.80,Tournament,4000.88,0,4
10,0.050,0.80,Tournament,4000.88,0,4
11,0.050,0.80,Tournament,4000.88,0,4
12,0.050,0.80,Tournament,4000.88,0,3
13,0.050,0.80,Tournament,4000.88,0,4
14,0.050,0.80,Tournament,4000.88,0,3
15,0.050,0.80,Tournament,4000.88,0,4
16,0.050,0.80,Tournament,4000.88,0,4
17,0.050,0.80,Tournament,4000.88,0,4
18,0.050,0.80,Tournament,4000.89,0,4
19,0.050,0.80,Tournament,4000.89,0,3
20,0.050,0.80,Tournament,4000.89,0,3
21,0.050,0.80,Tournament,4000.89,0,4
22,0.050,0.80,Tournament,4000.89,0,3
23,0.050,0.80,Tournament,4000.89,0,2
24,0.050,0.80,Tournament,4000.89,0,4
25,0.050,0.80,Tournament,4000.89,0,4
26,0.050,0.80,Tournament,5000.72,0,5
27,0.050,0.80,Tournament,5000.72,0,5
28,0.050,0.80,Tournament,5000.72,0,3
29,0.050,0.80,Tournament,5000.72,0,3
30,0.050,0.80,Tournament,5000.72,0,4
31,0.050,0.80,Tournament,5000.72,0,4
32,0.050,0.80,Tournament,5000.72,0,4
33,0.050,0.80,Tournament,5000.72,0,5
34,0.050,0.80,Tournament,5000.72,0,4
35,0.050,0.80,Tournament,5000.72,0,4
36,0.050,0.80,Tournament,5000.72,0,4
37,0.050,0.80,Tournament,5000.72,0,4
38,0.050,0.80,Tournament,5000.72,0,4
39,0.050,0.80,Tournament,7000.75,0,7
40,0.050,0.80,Tournament,7000.75,0,4
41,0.050,0.80,Tournament,8000.58,0,8
42,0.050,0.80,Tournament,8000.58,0,4
43,0.050,0.80,Tournament,8000.58,0,4
44,0.050,0.80,Tournament,8000.58,0,4
45,0.050,0.80,Tournament,8000.58,0,4
46,0.050,0.80,Tournament,8000.58,0,4
47,0.050,0.80,Tournament,9000.78,0,9
48,0.050,0.80,Tournament,9000.78,0,4
49,0.050,0.80,Tournament,9000.78,0,4
50,0.050,0.80,Tournament,9000.86,0,9
51,0.050,0.80,Tournament,9000.86,0,5
52,0.050,0.80,Tournament,9000.86,0,4
53,0.050,0.80,Tournament,9000.90,0,9
54,0.050,0.80,Tournament,9000.90,0,4
55,0.050,0.80,Tournament,9000.90,0,5
56,0.050,0.80,Tournament,10000.63,0,10
57,0.050,0.80,Tournament,10000.63,0,4
58,0.050,0.80,Tournament,10000.63,0,8
59,0.050,0.80,Tournament,10000.64,0,10
60,0.050,0.80,Tournament,10000.64,0,8
61,0.050,0.80,Tournament,10000.64,0,5
62,0.050,0.80,Tournament,10000.64,0,10
63,0.050,0.80,Tournament,10000.64,0,10
64,0.050,0.80,Tournament,10000.64,0,9
65,0.050,0.80,Tournament,10000.66,0,10
66,0.050,0.80,Tournament,516000.00,1,16
67,0.050,0.80,Tournament,516000.00,0,9
68,0.050,0.80,Tournament,516000.00,0,10
69,0.050,0.80,Tournament,516000.00,0,9
70,0.050,0.80,Tournament,516000.00,0,9
71,0.050,0.80,Tournament,516000.00,0,10
72,0.050,0.80,Tournament,516000.00,0,9
73,0.050,0.80,Tournament,516000.00,0,10
74,0.050,0.80,Tournament,516000.00,0,10
75,0.050,0.80,Tournament,516000.00,0,10
76,0.050,0.80,Tournament,516000.00,0,9
77,0.050,0.80,Tournament,516000.00,0,10
78,0.050,0.80,Tournament,516000.00,0,10
79,0.050,0.80,Tournament,516000.00,0,9
80,0.050,0.80,Tournament,516000.00,1,16
81,0.050,0.80,Tournament,516000.00,0,10
82,0.050,0.80,Tournament,516000.00,0,9
83,0.050,0.80,Tournament,516000.00,1,16
84,0.050,0.80,Tournament,516000.00,0,10
85,0.050,0.80,Tournament,516000.00,0,10
86,0.050,0.80,Tournament,516000.00,2,16
87,0.050,0.80,Tournament,516000.00,0,10
88,0.050,0.80,Tournament,516000.00,0,10
89,0.050,0.80,Tournament,516000.00,1,16
90,0.050,0.80,Tournament,516000.00,1,16
91,0.050,0.80,Tournament,516000.00,0,10
92,0.050,0.80,Tournament,516000.00,1,16
93,0.050,0.80,Tournament,516000.00,0,10
94,0.050,0.80,Tournament,516000.00,0,10
95,0.050,0.80,Tournament,516000.00,3,16
96,0.050,0.80,Tournament,516000.00,2,16
97,0.050,0.80,Tournament,516000.00,1,16
98,0.050,0.80,Tournament,516000.00,4,16
99,0.050,0.80,Tournament,516000.00,0,10
100,0.050,0.80,Tournament,516000.00,1,16
101,0.050,0.80,Tournament,516000.00,8,16
102,0.050,0.80,Tournament,516000.00,0,10
103,0.050,0.80,Tournament,516000.00,3,16
104,0.050,0.80,Tournament,516000.00,8,16
105,0.050,0.80,Tournament,516000.00,0,10
106,0.050,0.80,Tournament,516000.00,4,16
107,0.050,0.80,Tournament,516000.00,11,16
108,0.050,0.80,Tournament,516000.00,2,16
109,0.050,0.80,Tournament,516000.00,5,16
110,0.050,0.80,Tournament,516000.00,13,16
111,0.050,0.80,Tournament,516000.00,4,16
112,0.050,0.80,Tournament,516000.00,4,16
113,0.050,0.80,Tournament,516000.00,9,16
114,0.050,0.80,Tournament,516000.00,6,16
115,0.050,0.80,Tournament,516000.00,7,16
116,0.050,0.80,Tournament,516000.00,8,16
